Day,Month,Group-ID,Bout-ID,Tree ID ,Tree Local name,Tree Genus,Tree Species,Tree family,Individuum-ID,Behaviour code ,size-sugar,hardness-sugar,colour1-sugar,colour2-sugar,scent1-sugar,scent2-sugar,variation-size,variation-hardness,variation-colour1,variation-colour2,variation-scent 
29,6,1,19,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,3,L,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,20,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,1,R,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,20,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,2,S,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,20,A5,Kalafam Bakaka,Oncostemum,nervosum,Myrsinaceae,3,L,0.3872356,0.1181,-0.2254,x,0.1626617,-0.02767963,0.17902,0.50214,3.34E+15,x,0.7219886
29,6,1,21,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,1,R,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,21,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,2,R,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,21,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,3,L,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,22,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,1,R,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,22,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,2,R,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,22,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,3,L,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
